product_id,product_name,category,description,material,grade,size,price,unit,MOQ,supplier,location,availability,rating
P0001,HDPE Granules,Plastic,Industrial quality product suitable for bulk commercial procurement. HDPE Granules in 1000 kg specification.,HDPE,Injection Grade,1000 kg,126.33,piece,500,National Engineering Works,Hyderabad,In Stock,4.4
P0002,Stainless Steel Pipe 304,Steel,Reliable supplier-grade material for manufacturing and industrial use. Stainless Steel Pipe 304 in 1 inch specification.,Stainless steel,304,1 inch,166.08,kg,250,Metro Industrial Supplies,Bengaluru,Limited Stock,3.8
P0003,AAC Block,Construction Materials,Reliable supplier-grade material for manufacturing and industrial use. AAC Block in 600x200x100 mm specification.,Autoclaved Aerated Concrete,Grade 4,600x200x100 mm,1259.67,box,50,Sri Lakshmi Enterprises,Erode,In Stock,4.9
P0004,Corrugated Shipping Box,Packaging,"Suitable for wholesale buyers, distributors, and regular business orders. Corrugated Shipping Box in 12x10x8 inch specification.",Kraft Paper,5 Ply,12x10x8 inch,28.7,box,1000,South India Materials,Salem,In Stock,4.6
P0005,Automotive Brake Pad,Automotive,Reliable supplier-grade material for manufacturing and industrial use. Automotive Brake Pad in Rear specification.,Semi Metallic,OEM Grade,Rear,6691.68,box,250,Prime Traders,Coimbatore,In Stock,3.6
P0006,Cotton Grey Fabric,Textiles,Quality-tested product with bulk supply capability. Cotton Grey Fabric in 44 inch specification.,Cotton,Greige,44 inch,795.86,meter,50,Metro Industrial Supplies,Bengaluru,In Stock,3.7
P0007,PP Woven Sack,Packaging,Reliable supplier-grade material for manufacturing and industrial use. PP Woven Sack in 50 kg specification.,Polypropylene,Laminated,50 kg,234.48,kg,50,Universal B2B Supplies,Kolkata,In Stock,3.7
P0008,Hydraulic Press Machine,Machinery,"Suitable for wholesale buyers, distributors, and regular business orders. Hydraulic Press Machine in 100 Ton specification.",Steel,Hydraulic,100 Ton,345246.1,piece,5,Universal B2B Supplies,Kolkata,In Stock,3.8
P0009,GI Steel Sheet,Steel,Quality-tested product with bulk supply capability. GI Steel Sheet in 2 mm specification.,Galvanized steel,IS 277,2 mm,104.49,box,25,National Engineering Works,Hyderabad,Limited Stock,4.8
P0010,Stainless Steel Nut,Hardware,"Suitable for wholesale buyers, distributors, and regular business orders. Stainless Steel Nut in M10 specification.",Stainless Steel,304,M10,371.45,kg,1000,Sri Lakshmi Enterprises,Erode,Limited Stock,4.8
P0011,Hydraulic Press Machine,Machinery,Industrial quality product suitable for bulk commercial procurement. Hydraulic Press Machine in 20 Ton specification.,Steel,Hydraulic,20 Ton,317977.62,piece,1,Sri Lakshmi Enterprises,Erode,In Stock,3.7
P0012,Industrial Electrical Switch,Electrical,"Suitable for wholesale buyers, distributors, and regular business orders. Industrial Electrical Switch in 63A specification.",Polycarbonate,Heavy Duty,63A,1035.75,meter,250,Prime Traders,Coimbatore,In Stock,4.5
P0013,PVC Resin,Plastic,Quality-tested product with bulk supply capability. PVC Resin in 1000 kg specification.,PVC,K67,1000 kg,95.66,meter,25,Global Trade Hub,Mumbai,In Stock,4.9
P0014,Citric Acid Powder,Chemicals,"Suitable for wholesale buyers, distributors, and regular business orders. Citric Acid Powder in 25 kg specification.",Citric Acid,Food Grade,25 kg,184.3,piece,25,Apex Components,Delhi,In Stock,4.3
P0015,Automotive Brake Pad,Automotive,"Suitable for wholesale buyers, distributors, and regular business orders. Automotive Brake Pad in Rear specification.",Semi Metallic,OEM Grade,Rear,380.8,box,1000,Kaveri Industrial Solutions,Madurai,In Stock,3.6
P0016,Portland Cement,Construction Materials,Reliable supplier-grade material for manufacturing and industrial use. Portland Cement in 25 kg specification.,Cement,OPC 53 Grade,25 kg,879.92,kg,1000,Universal B2B Supplies,Kolkata,In Stock,4.5
P0017,Engine Oil Filter,Automotive,Reliable supplier-grade material for manufacturing and industrial use. Engine Oil Filter in Medium specification.,Steel,OEM Grade,Medium,10488.33,meter,25,Techno Supply Co,Pune,In Stock,4.1
P0018,PET Packaging Bottle,Packaging,"Suitable for wholesale buyers, distributors, and regular business orders. PET Packaging Bottle in 1 L specification.",PET,Food Grade,1 L,34.65,piece,50,Kaveri Industrial Solutions,Madurai,In Stock,4.4
P0019,Polyester Fabric Roll,Textiles,Industrial quality product suitable for bulk commercial procurement. Polyester Fabric Roll in 1.5 m specification.,Polyester,Knitted,1.5 m,672.12,kg,25,Prime Traders,Coimbatore,In Stock,4.8
P0020,PP Granules,Plastic,Quality-tested product with bulk supply capability. PP Granules in 500 kg specification.,Polypropylene,Injection Grade,500 kg,181.65,piece,500,Apex Components,Delhi,In Stock,4.7
P0021,CNC Turning Machine,Machinery,Quality-tested product with bulk supply capability. CNC Turning Machine in 2 Axis specification.,Cast Iron,CNC,2 Axis,403915.08,piece,2,Prime Traders,Coimbatore,Limited Stock,4.2
P0022,Stainless Steel Pipe 304,Steel,Reliable supplier-grade material for manufacturing and industrial use. Stainless Steel Pipe 304 in 1 inch specification.,Stainless steel,304,1 inch,349.44,kg,25,South India Materials,Salem,In Stock,4.3
P0023,Industrial Electrical Switch,Electrical,Industrial quality product suitable for bulk commercial procurement. Industrial Electrical Switch in 16A specification.,Polycarbonate,Heavy Duty,16A,1221.05,kg,100,National Engineering Works,Hyderabad,In Stock,4.5
P0024,Automotive Brake Pad,Automotive,Reliable supplier-grade material for manufacturing and industrial use. Automotive Brake Pad in Front specification.,Semi Metallic,OEM Grade,Front,2120.79,meter,100,Metro Industrial Supplies,Bengaluru,Limited Stock,4.9
P0025,Industrial Electrical Switch,Electrical,Quality-tested product with bulk supply capability. Industrial Electrical Switch in 16A specification.,Polycarbonate,Heavy Duty,16A,751.18,meter,50,South India Materials,Salem,Limited Stock,3.7
P0026,Citric Acid Powder,Chemicals,"Suitable for wholesale buyers, distributors, and regular business orders. Citric Acid Powder in 25 kg specification.",Citric Acid,Food Grade,25 kg,381.08,kg,500,Evergreen Manufacturing,Ahmedabad,In Stock,3.6
P0027,Stainless Steel Nut,Hardware,Industrial quality product suitable for bulk commercial procurement. Stainless Steel Nut in M6 specification.,Stainless Steel,304,M6,122.01,piece,50,Techno Supply Co,Pune,In Stock,4.1
P0028,Ceramic Wall Tile,Construction Materials,"Suitable for wholesale buyers, distributors, and regular business orders. Ceramic Wall Tile in 600x600 mm specification.",Ceramic,Glossy,600x600 mm,81.14,kg,100,Evergreen Manufacturing,Ahmedabad,In Stock,3.8
P0029,PP Woven Sack,Packaging,Quality-tested product with bulk supply capability. PP Woven Sack in 50 kg specification.,Polypropylene,Laminated,50 kg,37.07,kg,250,South India Materials,Salem,In Stock,4.9
P0030,HDPE Granules,Plastic,Reliable supplier-grade material for manufacturing and industrial use. HDPE Granules in 500 kg specification.,HDPE,Injection Grade,500 kg,299.64,kg,10,Evergreen Manufacturing,Ahmedabad,In Stock,3.7
P0031,Corrugated Shipping Box,Packaging,"Suitable for wholesale buyers, distributors, and regular business orders. Corrugated Shipping Box in 12x10x8 inch specification.",Kraft Paper,5 Ply,12x10x8 inch,74.82,box,1000,Global Trade Hub,Mumbai,In Stock,4.5
P0032,Automotive Rubber Hose,Automotive,Industrial quality product suitable for bulk commercial procurement. Automotive Rubber Hose in 1 inch specification.,EPDM Rubber,Heat Resistant,1 inch,11276.32,piece,50,Prime Traders,Coimbatore,In Stock,4.6
P0033,LED Panel Light,Electrical,"Suitable for wholesale buyers, distributors, and regular business orders. LED Panel Light in 24W specification.",Aluminium,Commercial,24W,621.3,box,25,Evergreen Manufacturing,Ahmedabad,Limited Stock,3.9
P0034,Stainless Steel Pipe 304,Steel,Reliable supplier-grade material for manufacturing and industrial use. Stainless Steel Pipe 304 in 4 inch specification.,Stainless steel,304,4 inch,96.31,box,1000,National Engineering Works,Hyderabad,In Stock,3.7
